	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
SPDEF	-0.107958085106383	0.335949042553191	-4.80985779624057	5.77111178797459e-06	5.21436923901704e-05	3.23394346747563	down
MT1A	0.144535106382979	0.21588585106383	4.79212802577561	6.19564539988909e-06	5.4692593874883e-05	3.16545933331323	up
PODXL	0.158466808510638	0.189595319148936	4.75944770712471	7.05908977643954e-06	6.03111885641871e-05	3.03962647135265	up
TAL1	0.130439574468085	0.131209574468085	4.70274143902849	8.84242163840095e-06	7.30212883687305e-05	2.82252842338908	up
TWIST1	0.221800425531915	0.184159574468085	4.66172956087706	1.03973367466727e-05	8.49484534196238e-05	2.66651289139245	up
MYH11	0.173565957446809	0.180428936170213	4.64906548114112	1.09289296564539e-05	8.83517681700693e-05	2.61850775125661	up
EYA4	0.158741489361702	0.243718829787234	4.63779289590819	1.14242177862503e-05	9.13937422900025e-05	2.57584558992473	up
HOXC6	0.142176808510638	0.205782659574468	4.61267723416695	1.26072633697898e-05	9.87997782448831e-05	2.48102546671424	up
RAD50	-0.103116382978723	0.664680531914894	-4.56247194337577	1.53383498357625e-05	0.000113267814171785	2.29245353386482	down
SFRP1	0.105102340425532	0.112276489361702	4.52768413609158	1.75582032960749e-05	0.000128425715537005	2.16255651379311	up
THY1	0.117131063829787	0.168731489361702	4.42354152328533	2.62235251602256e-05	0.000177005408046701	1.7775096517261	up
CHGA	0.128497234042553	0.222099680851064	4.32610585319212	3.79816184094113e-05	0.000245125066709478	1.42256217120115	up
PDGFRA	0.130254893617021	0.528214042553191	4.31291128636878	3.99208793456e-05	0.00025549362781184	1.37489773217132	up
TJP2	0.156242978723404	0.182658936170213	4.30724988477387	4.07819181184547e-05	0.000258847215826225	1.35447602597984	up
DBC1	0.133618936170213	0.334243510638298	4.23938463873367	5.2602348008724e-05	0.000328443929030082	1.11107324358533	up
CD2	-0.103608936170213	0.77129829787234	-4.15922085599448	7.08328243311507e-05	0.000431742929256538	0.82693537014637	down
AGTR1	0.157123404255319	0.184412978723404	4.13244687482068	7.81750175889888e-05	0.000465414058204212	0.732862715265276	up
SCGB3A1	0.134871063829787	0.186814255319149	4.10373458153828	8.68595866323993e-05	0.000510831713997915	0.632445189751524	up
EPO	0.101310638297872	0.128666808510638	3.96647351856977	0.000142838718988704	0.000761806501273086	0.159161184368432	up
OSM	-0.109375957446808	0.80729414893617	-3.92223210200436	0.000167306946932174	0.000880080378382943	0.00904290401838015	down
FABP3	0.131034255319149	0.281663085106383	3.80941668092812	0.000249141869872611	0.00124247374066341	-0.368266763078485	up
FRK	-0.100182765957447	0.687407340425532	-3.73148983447004	0.000326622332856532	0.00153893221861237	-0.624196872255295	down
CCNA1	0.143183829787234	0.177002553191489	3.68839407829259	0.000378808591676261	0.00173169641909148	-0.764055126456443	up
TMEFF2	0.108510638297872	0.163587659574468	3.64588703137123	0.000437972890512388	0.0019555998832181	-0.90081688105502	up
HDAC9	0.107370212765957	0.22136914893617	3.54984667723441	0.000605509334277577	0.0025979394900848	-1.20541838470235	up
SEPT5.	0.108393617021277	0.348917659574468	3.5113980895323	0.000688267163249219	0.00284187731922258	-1.32562985171032	up
WNT10B	0.119977659574468	0.515853085106383	3.42696076336318	0.000908978985450712	0.00359843227229972	-1.58609494575235	up
VAV1	-0.117921489361702	0.535893936170213	-3.38068017591864	0.00105668572538109	0.0040134940606165	-1.7267722428485	down
RASSF1	0.119242553191489	0.122566808510638	3.36824019321416	0.00110007742075952	0.00412126565435762	-1.76433119838595	up
NTRK2	0.107812553191489	0.113180106382979	3.22558611017259	0.0017329561498062	0.00617815753709579	-2.18721951053584	up
MMP14	0.107392553191489	0.538394361702128	3.17822225010238	0.00200935947590425	0.00692012590804693	-2.3244027078437	up
RUNX1T1	0.117227234042553	0.416525106382979	3.17539667194758	0.00202708390497134	0.00695000195990172	-2.33253515688297	up
PI3	-0.13054	0.720136595744681	-3.13415281535351	0.00230295751068645	0.00769176619957567	-2.45057764478149	down
CYP1B1	0.102048936170213	0.276870212765957	3.13407300154557	0.00230352373164376	0.00769176619957567	-2.45080486902094	up
FGF12	0.101908723404255	0.221263085106383	3.09521511630295	0.0025951080325662	0.00848103391068442	-2.56087346929366	up
